Name_domain,Product_name,Region,Country,Average_rating,Number_of_rates,Price,Type
Ampeleia,UNLITRO 2022,Costa Toscana,Italy,4.0,72,17.32,Red
Whiplash,Chardonnay 2018,California,United States,3.9,105,17.33,White
Altemasi,Millesimato Método Classico Brut 2019,Trento,Italy,3.8,334,17.34,Sparkling
Zuccardi,Serie A Malbec 2021,Uco Valley,Argentina,3.9,1825,17.34,Red
Gaía,Notios White 2021,Peloponnesos,Greece,3.8,106,17.34,White
Domaine de la Perrière,Clos de la Chapelle Grès de Montpellier 2021,Grès de Montpellier,France,4.1,264,17.35,Red
Les Beates,Coteaux d'Aix-en-Provence Rouge 2017,Coteaux d'Aix-en-Provence,France,3.8,425,17.35,Red
Alois Lageder,Al Passo del Leone Rosso 2017,Vigneti delle Dolomiti,Italy,3.4,50,17.36,Red
Château la Haye,Château Bel-Air Saint-Estèphe 2018,Saint-Estèphe,France,3.6,65,17.36,Red
La Costa,Vespaiolo 2021,Breganze,Italy,3.7,120,17.38,White
Setteanime,Incrocio Manzoni 6.0.13 2017,Piave,Italy,4.0,37,17.38,White
Villa Persani,Rætica Nosiola 2020,Vigneti delle Dolomiti,Italy,3.6,43,17.38,White
Borgo dei Posseri,Furiél (F) 2022,Vigneti delle Dolomiti,Italy,3.8,484,17.38,White
Kössler,Sauvignon 2022,Südtirol - Alto Adige,Italy,3.8,28,17.38,White
Cantina Kurtatsch,Gewürztraminer Arenis 2022,Südtirol - Alto Adige,Italy,3.9,45,17.38,White
Andre Kientzler,Sylvaner Alsace 2021,Alsace,France,3.5,34,17.38,White
Domaine des Demoiselles,Pierre de Lune 2021,Côtes Catalanes,France,3.7,37,17.38,White
Giorgio Meletti Cavallari,Borgeri Bianco 2022,Bolgheri,Italy,3.7,722,17.38,White
Nec Otium,I Vini di Jacopo Friulano di Jacopo 2021,Colli Orientali del Friuli,Italy,3.7,192,17.38,White
Lunae,Vermentino Nero 2021,Colli di Luni,Italy,3.8,113,17.38,Red
GoBri,Zöldveltelini 2019,Mátra,Hungary,3.7,42,17.38,White
Furlani,Brut,Trentino,Italy,3.8,144,17.38,Sparkling
Weingut Villa Gutenberg,Riesling Spätlese Trocken 2020,Rheingau,Germany,4.1,79,17.38,White
Terre Margaritelli,Malot 2019,Umbria,Italy,4.0,33,17.38,Red
U Tabarka - Carloforte,Ciù Roussou Bovale Isola dei Nuraghi 2021,Isola dei Nuraghi,Italy,3.7,351,17.38,Red
Domaine des Demoiselles,Cairo 2021,Côtes Catalanes,France,3.8,73,17.38,Red
Prunotto,Mosesco Dolcetto d'Alba Cru 2022,Dolcetto d'Alba,Italy,3.6,1099,17.38,Red
Castello di Tassarolo,Rosa Spinola Monferrato Chiaretto 2018,Monferrato,Italy,3.7,57,17.38,Rose
Ferlat,PG Rosa 2021,Friuli-Venezia Giulia,Italy,4.0,103,17.38,Rose
Ferlat,PG Rosa 2022,Friuli-Venezia Giulia,Italy,4.0,247,17.38,Rose
Gorgo,Valpolicella Ripasso Classico Superiore 2018,Valpolicella Ripasso Classico,Italy,4.0,101,17.38,Red
Terre di Giurfo,Ronna Syrah 2018,Sicilia,Italy,3.5,118,17.38,Red
Costa Arente,Valpolicella Ripasso 2019,Valpolicella Ripasso,Italy,4.0,186,17.38,Red
Merotto,La Primavera di Barbara Valdobbiadene Prosecco Superiore 2021,Conegliano-Valdobbiadene Prosecco,Italy,4.1,104,17.38,Sparkling
Domaine Joillot,Bourgogne Passetoutgrain 2016,Bourgogne Passe-tout-grains,France,3.4,206,17.38,Red
Fedrizzi Cipriano,Lagrein Trentino 2021,Trentino,Italy,3.7,73,17.38,Red
Tenuta I Fauri,Ottobre Rosso Montepulciano d'Abruzzo 2021,Montepulciano d'Abruzzo,Italy,3.6,854,17.38,Red
Le Piane,Maggiorina 2021,Boca,Italy,3.8,301,17.38,Red
Criserà,Armacia Rosso 2021,Costa Viola,Italy,3.7,390,17.38,Red
Malibràn,Credamora Col Fondo Valdobbiadene Prosecco 2019,Conegliano-Valdobbiadene Prosecco,Italy,3.9,329,17.38,Sparkling
Adami,Dei Casel Extra Dry Valdobbiadene Prosecco Superiore,Conegliano-Valdobbiadene Prosecco,Italy,3.9,938,17.39,Sparkling
Adami,Bosco di Gica Valdobbiadene Prosecco Superiore Brut,Conegliano-Valdobbiadene Prosecco Superiore,Italy,3.9,4239,17.39,Sparkling
Le Morette,Benedictus Lugana 2021,Lugana,Italy,4.1,93,17.39,White
Doña Paula,Estate Black Edition Red 2022,Lujan de Cuyo,Argentina,3.7,14183,17.39,Red
Domaine de Coste Chaude,L'Argentière Côtes-du-Rhône-Villages 'Visan' 2017,Côtes-du-Rhône-Villages 'Visan',France,3.7,163,17.4,Red
Domaine de Coste Chaude,Trilogy Côtes-du-Rhône-Villages 'Visan' 2016,Côtes-du-Rhône-Villages 'Visan',France,3.8,68,17.4,White
Domaine de Coste Chaude,Trilogy Côtes-du-Rhône-Villages 'Visan' 2018,Côtes-du-Rhône-Villages 'Visan',France,3.8,68,17.4,White
La Spinetta,Toscana Vermentino 2022,Toscana,Italy,3.9,62,17.4,White
Dr. Loosen,Dr. L Riesling Dry 2022,Mosel,Germany,3.8,95,17.4,White
Pelz,Kerner 2022,Vigneti delle Dolomiti,Italy,3.9,72,17.4,White
Pelz,Cembrani d'Autore Riesling 2020,Trentino,Italy,3.7,128,17.4,White
Marco Felluga,Mongris Collio Pinot Grigio 2021,Collio,Italy,4.0,414,17.4,White
Gustave Lorentz,Riesling Alsace Evidence 2021,Alsace,France,3.6,1093,17.4,White
Morasinsi,Macerato Bianco 2021,Puglia,Italy,4.0,125,17.4,White
Tenuta Sant'Agostino,Scomposto 2019,Campania,Italy,4.1,69,17.4,White
La Monardiere,Jeu de GàRri Vacqueyras 2021,Vacqueyras,France,4.0,69,17.4,White
Domaine de Coste Chaude,L'Argentière Côtes-du-Rhône-Villages 'Visan' 2015,Côtes-du-Rhône-Villages 'Visan',France,3.8,25,17.4,Red
Luigi Einaudi,Nebbiolo Langhe 2022,Langhe,Italy,3.9,3469,17.4,Red
Mas de Libian,Khayyâm 2021,Côtes-du-Rhône,France,3.9,395,17.4,Red
Damien Coquelet,Morgon Côte du Py 2021,Morgon,France,3.8,1060,17.4,Red
Domaine des Duc,Saint-Amour 2020,Saint-Amour,France,3.9,30,17.4,Red
Château de Plaisance,Sur la Butte 2020,Anjou,France,3.7,31,17.4,Red
Château Malineau,Saint-Émilion 2018,Saint-Émilion,France,3.8,43,17.4,Red
Domaine Fontanel,Cistes Côtes du Roussillon Villages Tautavel 2020,Côtes du Roussillon Villages,France,3.9,203,17.4,Red
Domaine Boucabeille,Le Bon Sauvage Grenache - Carignan 2022,Côtes du Roussillon,France,3.9,72,17.4,Red
Domaine Boucabeille,Amethyst Rouge 2021,Côtes du Roussillon,France,3.8,85,17.4,Red
Château Les Grands Chênes,Médoc 2019,Médoc,France,3.7,117,17.4,Red
Château Caronne Ste. Gemme,Haut-Médoc 2019,Haut-Médoc,France,3.8,26,17.4,Red
Signature Chef,Michel Sarran Cuvée Gourmet Rouge 2019,Pays d'Oc,France,3.8,52,17.4,Red
Clos de la Molénie,Rouge 2021,Bordeaux,France,3.7,135,17.4,Red
Domaine de Coste Chaude,La Rocaille Côtes-du-Rhône-Villages 'Visan' 2017,Côtes-du-Rhône-Villages 'Visan',France,3.8,165,17.4,Red
Domaine Fournier Père et Fils,Sancerre Rosé 'Les Belles Vignes' 2022,Sancerre,France,4.0,170,17.45,Rose
Château Camparnaud,Prestige Rosé 2022,Provence,France,4.2,186,17.45,Rose
Abbe Rous,Cornet & Cie Collioure Blanc 2021,Collioure,France,3.8,198,17.45,White
Château la Haye,Fief de la Haye Saint-Estèphe 2018,Saint-Estèphe,France,3.7,563,17.45,Red
J. de Villebois,Sancerre Rosé 2022,Sancerre,France,4.1,96,17.45,Rose
Familia Schroeder,Saurus Select Sauvignon Blanc 2021,Patagonia,Argentina,3.8,28,17.46,White
Familia Schroeder,Saurus Select Malbec 2020,Patagonia,Argentina,4.0,478,17.46,Red
Mastroberardino,Aglianico Irpinia Redimore 2018,Irpinia,Italy,3.8,463,17.46,Red
Rocca delle Macìe,Famiglia Zingarelli Chianti Classico Riserva 2018,Chianti Classico,Italy,3.8,110,17.46,Red
Castelvecchio,Cabernet Sauvignon Carso 2020,Carso,Italy,3.7,27,17.47,Red
Musso,Barbera d'Alba 2020,Barbera d'Alba,Italy,3.9,581,17.48,Red
Griesbauerhof,St.Magdalener Classico 2022,Südtirol - Alto Adige,Italy,3.6,269,17.48,Red
Zeni,Arlecchino 2021,Trento,Italy,3.6,53,17.48,Sparkling
De Sanctis,496 Bio 2022,Frascati,Italy,3.7,652,17.48,White
Oddero,Riesling 2019,Langhe,Italy,3.7,53,17.48,White
Elena Walch,Pinot Grigio (Selezione) 2022,Südtirol - Alto Adige,Italy,3.8,168,17.48,White
Castelvecchio,Cabernet Franc Carso 2020,Carso,Italy,3.8,38,17.48,Red
Vinica,Lame del Sorbo Tintilia del Molise 2018,Tintilia del Molise,Italy,3.6,55,17.48,Red
Livio Felluga,Vertigo 2021,delle Venezie,Italy,3.9,219,17.48,Red
Castelvecchio,Refosco dal Peduncolo Rosso Carso 2020,Carso,Italy,3.8,472,17.48,Red
Cascina Tavijn,Ottavio 2021,Grignolino d'Asti,Italy,3.8,49,17.48,Red
Musso,Dolcetto d'Alba 2021,Dolcetto d'Alba,Italy,3.7,159,17.48,Red
Cascina Melognis,Divicaroli Pelaverga 2022,Colline Saluzzesi,Italy,3.6,164,17.48,Red
David Moreno,Monasterio de Yuso Crianza 2019,Rioja,Spain,3.6,308,17.48,Red
Maso Cantanghel,Vigna Cantanghel Sauvignon 2022,Trentino,Italy,4.0,353,17.48,White
Louis Jadot,Bourgogne Couvent des Jacobins 2022,Bourgogne,France,3.6,28714,17.49,Red
Mas Foulaquier,Violetta Saint-Guilhem-le-Désert 2019,Saint-Guilhem-le-Desert,France,3.8,78,17.5,Red
Pelaquie,Galia Côtes du Rhône 2019,Côtes-du-Rhône,France,4.0,27,17.5,Red
Sauta Roc,In Ganno 2021,Pays d'Oc,France,4.2,84,17.5,White
Château Calon,Saint-Georges-Saint-Émilion 2010,Saint-Georges-Saint-Émilion,France,4.1,161,17.5,Red
Martine et Pierre Marie Chermette - Domaine du Vissoux,Pierreux Brouilly 2019,Brouilly,France,3.8,53,17.5,Red
Famille Cros Pujol,Syrah - Grenache Pic Saint-Loup 2021,Pic-Saint-Loup,France,3.7,224,17.5,Red
Louis Jadot,Bourgogne Couvent des Jacobins 2021,Bourgogne,France,3.8,302,17.5,Red
Agarrus,L'Equilibriste 2021,Vin de France,France,3.6,37,17.5,Red
Château Haut-Vigneau,Pessac-Léognan 2017,Pessac-Léognan,France,3.8,210,17.5,Red
Château Penin,Natur Bordeaux 2020,Bordeaux,France,3.5,665,17.5,Red
Mas des Chimères,Caminarèm Terrasses du Larzac 2019,Terrasses du Larzac,France,4.1,37,17.5,Red
Domaine de l'Enchantoir,Clos du Petit Chavannes Saumur Puy Notre Dame 2018,Saumur,France,3.9,184,17.5,Red
Château de Berne,Terres de Berne Rosé 2022,Côtes de Provence,France,3.9,49,17.5,Rose
Domaine des Sables Verts,Les Poyeux Saumur-Champigny 2021,Saumur-Champigny,France,4.0,151,17.5,Red
Château de Jonquières,La Baronnie Rouge 2021,Terrasses du Larzac,France,3.8,313,17.5,Red
Gómez Cruzado,Blanco 2021,Rioja,Spain,4.0,243,17.5,White
Château Verdignan,Haut-Médoc 2016,Haut-Médoc,France,3.7,5714,17.5,Red
Domaine Fournier Père et Fils,Sancerre Rosé 'Les Belles Vignes' 2021,Sancerre,France,4.0,170,17.5,Rose
Château de Camensac,La Closerie de Camensac Haut-Médoc 2017,Haut-Médoc,France,3.6,36,17.5,Red
Château Sainte Roseline,Lampe de Méduse Côtes de Provence Rouge 2017,Côtes de Provence,France,4.0,69,17.5,Red
Château Tournefeuille,Rosalcy Lalande-de-Pomerol 2020,Lalande-de-Pomerol,France,3.7,336,17.5,Red
Château Roubine,Premium Rosé Côtes de Provence (Cru Classé) 2021,Côtes de Provence,France,3.9,57,17.5,Rose
Sextant - Julien Altaber,Côteaux Bourguignons 2021,Coteaux Bourguignons,France,3.6,45,17.5,Red
Château Haut-Châtain,Lalande de Pomerol 2017,Lalande-de-Pomerol,France,3.9,442,17.5,Red
De Martino,Legado Carmenère (Reserva) 2020,Maipo Valley,Chile,4.0,122,17.5,Red
Château d'Aiguilhe,Seigneurs d'Aiguilhe Castillon - Côtes de Bordeaux 2016,Castillon - Côtes de Bordeaux,France,3.7,454,17.5,Red
Domaine Robert Roth,Orschwillerbourg Lieu-Dit Pinot Noir 2019,Alsace,France,3.7,59,17.5,Red
Veranda,Syrah 2008,Maipo Valley,Chile,3.7,186,17.5,Red
Mas del Périé - Fabien Jouves,La Roque 2017,Cahors,France,3.9,108,17.5,Red
Château Couhins,La Grande Ferrade Pessac-Léognan Rouge 2020,Pessac-Léognan,France,3.9,25,17.5,Red
Château la Haye,Fief de la Haye Saint-Estèphe 2019,Saint-Estèphe,France,3.7,563,17.5,Red
Martine et Pierre Marie Chermette - Domaine du Vissoux,Poncié Fleurie 2019,Fleurie,France,3.9,124,17.5,Red
Valdemonjas,El Primer Beso 2019,Ribera del Duero,Spain,3.8,153,17.5,Red
Domaine des Remizières,Crozes-Hermitage 2021,Crozes-Hermitage,France,3.8,62,17.5,Red
Château d'Aiguilhe,Seigneurs d'Aiguilhe Castillon - Côtes de Bordeaux 2018,Castillon - Côtes de Bordeaux,France,3.8,365,17.5,Red
Château de la Deidiére,Côtes de Provence Rosé 2020,Côtes de Provence,France,3.6,340,17.5,Rose
Château Sainte Roseline,Cuvée Lampe de Méduse Côtes de Provence Rosé 2021,Côtes de Provence,France,4.1,302,17.5,Rose
Domaine Sainte Marie,Tradition Côtes de Provence Rosé 2022,Côtes de Provence,France,3.9,1385,17.5,Rose
Château Fourcas-Borie,Listrac-Médoc 2013,Listrac-Médoc,France,3.6,168,17.5,Red
Mas Mellet,Les Salines Rosé 2022,Costières-de-Nîmes,France,4.0,367,17.5,Rose
Domaines Bunan,Moulin des Costes Bandol Rosé 2022,Bandol,France,4.0,71,17.5,Rose
Domaines Bunan,Mas de la Rouvière Rosé 2022,Bandol,France,4.0,412,17.5,Rose
Château Villars,Fronsac 2013,Fronsac,France,3.8,2820,17.5,Red
Famille Cros Pujol,Château Grézan Hèritage Faugères 2021,Faugères,France,3.8,697,17.5,Red
Josmeyer,Peau Rouge Sylvaner 2022,Alsace,France,3.9,383,17.5,White
Paolo Manzone,Luvi Langhe Rosso 2019,Langhe,Italy,3.8,26,17.5,Red
Ermitage du Pic Saint Loup,Cuvée Sainte Agnès Blanc 2022,Pic-Saint-Loup,France,3.8,570,17.5,White
Château la Verrerie,Hautes Collines Rouge 2018,Luberon,France,4.1,66,17.5,Red
Mas Haut-Buis,Les Carlines Terrasses du Larzac 2017,Terrasses du Larzac,France,3.7,103,17.5,Red
Domaine Pique-Basse,Rasteau 2017,Rasteau,France,3.9,177,17.5,Red
Château La Colombiere,Bellouguet 2014,Fronton,France,3.8,109,17.5,Red
Domaine de Courbissac,Roc du Pière Minervois 2019,Minervois,France,3.8,265,17.5,Red
Sérol,Oudan Côte Roannaise 2021,Côte Roannaise,France,3.7,50,17.5,Red
Château de Cérons,Graves Rouge 2018,Graves,France,3.8,72,17.5,Red
Château de Berne,Terres de Berne Rouge 2019,Côtes de Provence,France,3.7,175,17.5,Red
Domaine du Clos des Fées,Les Sorcières Côtes du Roussillon Rouge 2018,Côtes du Roussillon,France,3.8,789,17.5,Red
Domaine Chiroulet,Grande Reserve Gascogne 2016,Gascogne,France,3.9,91,17.5,Red
Domaine La Tour Vieille,Les Canadells Collioure 2021,Collioure,France,3.8,25,17.5,White
Clos des Vins d'Amour,Alcôve Grenache Noir 2019,Maury,France,3.9,235,17.5,Red
Château Charmail,Haut-Médoc 2017,Haut-Médoc,France,3.9,314,17.5,Red
M. Chapoutier,Domaine de Bila-Haut Occultum Lapidem 2018,Côtes du Roussillon Villages 'Latour de France',France,3.9,704,17.5,Red
Jean Huttard,Crémant d'Alsace Blanc Brut Nature 2019,Crémant d'Alsace,France,4.2,32,17.5,Sparkling
Vincent Stoeffler,Crémant d'Alsace Blanc de Blancs Brut 2016,Crémant d'Alsace,France,3.8,188,17.5,Sparkling
Gramenon,Poignée de Raisins 2022,Côtes-du-Rhône,France,3.8,3197,17.5,Red
Pas de l'Escalette,Les Clapas Terrasses du Larzac 2021,Terrasses du Larzac,France,4.0,54,17.5,Red
Château La Tour de l'Évêque,La Source Gabriel Côtes de Provence Rosé 2022,Côtes de Provence,France,3.8,37,17.5,Rose
Castello di Neive,Barbera d'Alba 2021,Barbera d'Alba,Italy,3.8,590,17.5,Red
Château La Tour de l'Évêque,Pétale de Rosé 2022,Côtes de Provence,France,4.1,97,17.5,Rose
Maxime-François Laurent,Il Fait Soif Rouge 2022,Côtes-du-Rhône,France,3.7,1745,17.5,Red
Château d'Esclans,Whispering Angel Rosé 2022,Côtes de Provence,France,4.1,2029,17.5,Rose
Laporte,Les Niorles Quincy 2022,Quincy,France,3.9,212,17.5,White
Château Les Valentines,Bio Cotes de Provence La Londe Rosé 2021,La Londe,France,3.9,149,17.5,Rose
Domaine Ogereau,Anjou en Chenin 2021,Anjou,France,3.9,79,17.5,White
Mas de Libian,Cave Vinum 2021,Ardèche,France,3.7,540,17.5,White
Maxime-François Laurent,Pantomine 2022,Côtes-du-Rhône,France,3.7,216,17.5,White
Vincent Stoeffler,Lieu-dit Kronenburg Riesling 2016,Alsace,France,3.7,76,17.5,White
Alain Geoffroy,Petit Chablis 2022,Petit Chablis,France,3.9,2074,17.5,White
Paul Kubler,Les Pierriers Riesling 2021,Alsace,France,3.9,94,17.5,White
Lantides Estate,Little Ark White 2019,Peloponnesos,Greece,3.7,68,17.5,White
Château Barbanau,Clos Val Bruyère Cassis 2022,Cassis,France,3.5,462,17.5,White
Domaine d'Aupilhac,Cuvée Aupilhac Blanc 2022,Languedoc,France,3.8,113,17.5,White
Corbillières,Justine Barbou 2018,Touraine,France,4.0,143,17.5,White
Maxime-François Laurent,Pantomine 2019,Côtes-du-Rhône,France,3.5,59,17.5,White
Château de Berne,Terres de Berne Blanc 2020,Côtes de Provence,France,3.6,221,17.5,White
René Muré,Côte de Rouffach Riesling 2019,Alsace,France,3.7,66,17.5,White
Antoine Van Remoortere,Menetou-Salon Blanc 2022,Menetou-Salon,France,4.0,944,17.5,White
Domaine du Mont-Epin,Viré-Clessé 2019,Viré-Clessé,France,3.9,45,17.5,White
Mouthes le Bihan,Vieillefont Blanc 2018,Côtes de Duras,France,3.8,412,17.5,White
Domaine des Gandines,Terroir de Clessé Viré Clessé 2021,Viré-Clessé,France,3.9,1374,17.5,White
Orenga de Gaffory,Patrimonio Blanc 2019,Patrimonio,France,3.5,62,17.5,White
Château Pédesclaux,Fleur de Pédesclaux Pauillac 2018,Pauillac,France,4.0,703,17.51,Red
Delheim,Gewürztraminer 2020,Stellenbosch,South Africa,3.9,83,17.51,White
Masca del Tacco,Li Filitti Riserva Primitivo di Manduria 2019,Primitivo di Manduria,Italy,4.2,56,17.52,Red
Nec Otium,I Vini di Jacopo Ribolla Gialla di Jacopo 2022,Colli Orientali del Friuli,Italy,3.9,72,17.52,White
Vignale di Cecilia,Cóvolo Colli Euganei Rosso 2019,Colli Euganei,Italy,3.7,541,17.53,Red
Clos Bagatelle,Le Clos de Ma Mère 2022,Saint-Chinian,France,3.8,77,17.54,White
Domaine Bousquet,Reserve Pinot Noir 2021,Tupungato,Argentina,3.8,47,17.54,Red
Château Mauvesin Barton,L'Impression Moulis en Médoc 2019,Moulis-en-Médoc,France,3.4,535,17.55,Red
Donnafugata,Sherazade Nero d'Avola 2019,Terre Siciliane,Italy,3.8,1494,17.55,Red
Casa di Terra,Moreccio Bolgheri 2021,Bolgheri,Italy,4.0,208,17.55,Red
Michel & Stéphane Ogier,Le Temps est Venu 2021,Côtes-du-Rhône-Villages 'Plan de Dieu',France,4.0,553,17.55,Red
Risveglio,Susu' Susumaniello 2021,Salento,Italy,4.2,31,17.55,Red
Verzier,Connivence 2016,Collines Rhodaniennes,France,3.5,50,17.55,Red
Guerrieri,Guerriero Nero 2021,Marche,Italy,4.1,61,17.55,Red
Tenuta Romana,Soliditas 2019,Toscana,Italy,4.1,103,17.55,Red
Thierry Janin,Domaine de l'Iris Moulin-À-Vent 2016,Moulin-à-Vent,France,3.7,233,17.55,Red
Domaine Bousquet,Reserve Malbec 2021,Tupungato,Argentina,4.0,627,17.55,Red
Michele Chiarlo,Moscato d'Asti Nivole 2021,Moscato d'Asti,Italy,4.0,195,17.55,Sparkling
Mesa,Giunco 2021,Vermentino di Sardegna,Italy,3.9,343,17.55,White
Couly-Dutheil,Les Gravières Chinon 2020,Chinon,France,3.7,207,17.55,Red
Emile Cheysson,Chiroubles 2022,Chiroubles,France,3.7,754,17.55,Red
Dirler-Cadé,Alsace Riesling 2021,Alsace,France,3.7,384,17.55,White
Domaine de La Fessardiere,Coup de Foudre 2015,Muscadet-Sevre et Maine,France,3.9,158,17.55,White
Terredora,Vesuvio Lacryma Christi Bianco 2021,Vesuvio,Italy,3.8,283,17.55,White
La Raia,Gavi 2020,Gavi,Italy,3.8,506,17.55,White
Croci,Valtolla Bianco 2021,Emilia-Romagna,Italy,3.9,1031,17.55,White
Black Island,Merga Victa Pošip 2021,Dalmatian Coast,Croatia,3.9,194,17.55,White
Familie Schmelz,Ried Klaus Federspiel Grüner Veltliner 2021,Wachau,Austria,3.8,230,17.55,White
Wijngoed Thorn,Riesling 2021,Limburg,Netherlands,3.6,59,17.55,White
Pasini San Giovanni,Il Lugana 2020,Lombardia,Italy,3.9,227,17.55,White
Mont-Ferrant,La Senyora Brut Nature,Cava,Spain,3.7,371,17.57,Sparkling
Arnaldo-Caprai,Montefalco Rosso 2020,Montefalco,Italy,3.9,265,17.58,Red
Mas Dei Chini,Theodor Manzoni Bianco 2022,Vigneti delle Dolomiti,Italy,3.8,131,17.58,White
Quota 101,Ortone Colli Euganei Rosso 2017,Colli Euganei,Italy,4.1,39,17.58,Red
Mas Dei Chini,Lagrein 2022,Trento,Italy,3.8,166,17.58,Red
Cà Maiol,Negresco Garda Classico Rosso 2019,Garda,Italy,4.1,34,17.58,Red
Cascina Gilli,Dedica Barbera d'Asti Superiore 2020,Barbera d'Asti,Italy,4.0,230,17.58,Red
Longariva,Graminé Vigneti delle Dolomiti 2022,Vigneti delle Dolomiti,Italy,3.9,812,17.58,White
Kressmann,Monopole Bordeaux 2019,Bordeaux,France,3.6,180,17.58,Red
Tenuta Scuotto,Fiano di Avellino 2022,Fiano de Avellino,Italy,3.9,611,17.58,White
Mas Dei Chini,Theodor Manzoni Bianco 2021,Vigneti delle Dolomiti,Italy,3.8,131,17.58,White
Longariva,Graminé Vigneti delle Dolomiti 2021,Vigneti delle Dolomiti,Italy,3.9,812,17.58,White
Domaine de l'Arjolle,Equinoxe Viognier - Sauvignon 2021,Languedoc,France,4.2,90,17.58,White
Popphof,Goldmuskateller 2022,Südtirol - Alto Adige,Italy,4.1,137,17.58,White
Nals Margreid,Angra Pinot Noir 2022,Südtirol - Alto Adige,Italy,3.9,39,17.58,Red
Luigi Oddero,Barbera d'Alba 2018,Barbera d'Alba,Italy,3.9,113,17.58,Red
El Hijo Prodigo,Selección Bonarda 2018,Mendoza,Argentina,3.4,42,17.58,Red
Maeli,Dilante Rosato 2019,Veneto,Italy,3.7,40,17.58,Rose
Claudio Cipressi,Settevigne Falanghina 2022,Molise,Italy,3.7,62,17.58,White
Barone di Serramarrocco,Quojane di Serramarrocco 2022,Terre Siciliane,Italy,4.3,120,17.58,White
Cà Maiol,Negresco Garda Classico Rosso 2018,Garda,Italy,4.0,34,17.58,Red
Abbazia di Novacella (Stiftskellerei Neustift),Sylvaner 2022,Südtirol - Alto Adige,Italy,3.8,31,17.58,White
Casella,Schioppettino Di Prepotto 2018,Colli Orientali del Friuli,Italy,3.7,93,17.58,Red
E. Guigal,Crozes-Hermitage Rouge 2020,Crozes-Hermitage,France,3.9,211,17.59,Red
Paul Kubler,Les Combes 2020,Alsace,France,3.8,51,17.6,White
Château Puech-Haut,Le Loup du Pic Pic-Saint-Loup 2019,Pic-Saint-Loup,France,4.0,382,17.6,Red
Montefiorito,Grignolino 2020,Piemonte,Italy,3.8,94,17.6,Red
Kolonics Pinceszet,Furmint 2021,Nagy-Somló,Hungary,3.7,28,17.6,White
Conti Thun,Gioia Riesling 2022,Benaco Bresciano,Italy,3.8,50,17.6,White
Villa Persani,Performance 2020,Vigneti delle Dolomiti,Italy,3.7,77,17.6,White
Markus Huber,Terrassen Riesling 2019,Traisental,Austria,3.6,134,17.6,White
Menti Giovanni,Roncaie Sui Lieviti 2022,Veneto,Italy,3.8,1774,17.6,Sparkling
Philippe Ravier,Chignin Bergeron Les Amandiers 2022,Savoie,France,3.9,384,17.6,White
Torricino,Serrapiano Fiano di Avellino 2020,Fiano de Avellino,Italy,3.4,26,17.6,White
Virna,StoFuori 2022,Barolo,Italy,3.7,82,17.6,White
Domaine de Briante,Baronne Brouilly 2018,Brouilly,France,3.8,34,17.6,Red
Alberto Longo,Capoposto 2021,Puglia,Italy,3.5,316,17.6,Red
Azienda Agricola Nicola di Sipio,Riesling Terre di Chieti 2021,Terre di Chieti,Italy,3.7,209,17.6,White
I Campetti,Bricco del Vento Timorasso 2014,Piemonte,Italy,3.7,30,17.6,White
Domaine Tropez,White Rosé 2022,Côtes de Provence,France,3.9,835,17.6,Rose
Monte Tondo,Casette Foscarin 2020,Valpolicella,Italy,3.9,29,17.6,White
Cascina Gilli,Arvelé Freisa d'Asti 2018,Freisa d'Asti,Italy,3.7,202,17.6,Red
Borgo del Tiglio,Milleuve Venezia Giulia Bianco 2021,Venezia Giulia,Italy,3.6,782,17.6,White
Bertin Delatte,Rabatière 2022,Vin de France,France,3.9,98,17.6,Red
Château de Lacarelle,Coteaux Bourguignons 2014,Coteaux Bourguignons,France,3.7,35,17.6,Red
Château Beaumont,Haut-Médoc 2017,Haut-Médoc,France,3.8,599,17.6,Red
Château de Lacarelle,Beaujolais-Villages Rouge 2011,Beaujolais-Villages,France,3.4,576,17.6,Red
Descendientes de J. Palacios,Pétalos 2021,Bierzo,Spain,4.0,513,17.6,Red
Alberto Longo,Cacc'e Mmitte di Lucera 2019,Puglia,Italy,3.8,43,17.6,Red
Arrayán,La Suerte de Arrayán Garnacha 2017,Méntrida,Spain,3.7,78,17.6,Red
Domaine de Baal,Le Petit Baal 2014,Bekaa Valley,Lebanon,4.2,27,17.6,Red
Bertin Delatte,Argonette 2022,Vin de France,France,3.8,26,17.6,Red
Villa Saletta,Chianti Superiore 2017,Chianti,Italy,3.9,54,17.6,Red
La Costa,Brigante Rosso 2019,Lombardia,Italy,3.4,335,17.6,Red
Kaiken,Ultra Malbec 2019,Mendoza,Argentina,3.9,2445,17.6,Red
Bricco dei Guazzi,Barbera d'Asti 2020,Barbera d'Asti,Italy,4.1,100,17.6,Red
Conterno Fantino,Dolcetto d'Alba Bricco Bastia 2022,Dolcetto d'Alba,Italy,3.5,1477,17.6,Red
Domaines Ott,By.Ott Rouge 2019,Côtes de Provence,France,3.7,178,17.6,Red
Château Haut Bertinerie,Blaye - Côtes de Bordeaux 2018,Blaye - Côtes de Bordeaux,France,4.0,58,17.6,Red
Château Beaumont,Haut-Médoc 2018,Haut-Médoc,France,3.9,700,17.6,Red
Paolo Scavino,Dolcetto D'Alba 2022,Piemonte,Italy,3.7,1280,17.6,Red
Château German Marbuzet,Saint-Estèphe 2014,Saint-Estèphe,France,3.9,31,17.6,Red
